"RecordHeader","FieldNameOld","DescriptionNew"
"CA","-",
"CA","Age",
"CA","AgePrepMet",
"CA","AgeSource",
"CA","AreaCode",
"CA","AreaType",
"CA","CANoAtLngt",
"CA","Country",
"CA","DateofCalculation","ICES Datacenter 'last calculated' timestamp for this record, an integer date. Encoding is table-dependent: HH/HL/CA/CW use YYYYMMDD; the FlexFile (FL) uses YYYYDDMM (day before month) -- do not assume one format across tables. A change in this value for an otherwise-identical record is a resubmission/recalculation signal, not new data."
"CA","DoorType",
"CA","FishID",
"CA","Gear",
"CA","GearEx",
"CA","GenSamp",
"CA","HaulNo",
"CA","IndWgt",
"CA","LiverWeight",
"CA","LngtClass",
"CA","LngtCode",
"CA","Maturity",
"CA","MaturityScale",
"CA","OtGrading",
"CA","ParSamp",
"CA","PlusGr",
"CA","Quarter",
"CA","RecordType",
"CA","Sex",
"CA","Ship",
"CA","SpecCode",
"CA","SpecCodeType",
"CA","StNo",
"CA","StomSamp",
"CA","SweepLngt",
"CA","Valid_Aphia","WoRMS AphiaID, the species join key. Always join on aphia -- never on latin or species/Species names, which are convenience labels only and can collide across synonyms."
"CA","Year",
"CPUEA","Age_0","Numbers per hour at age 0, raised per this survey's own age-length key and plus-group procedure (see PlusGrAge for IDX; CPUEA has no PlusGrAge column of its own -- cross-reference the matching IDX row's PlusGrAge, or the survey procedure document, for the plus-group cutoff). Ages at or above the plus-group are already summed into that age's cell; columns beyond it are structurally present but not meaningful for that species/row."
"CPUEA","Age_1","Numbers per hour at age 1, raised per this survey's own age-length key and plus-group procedure (see PlusGrAge for IDX; CPUEA has no PlusGrAge column of its own -- cross-reference the matching IDX row's PlusGrAge, or the survey procedure document, for the plus-group cutoff). Ages at or above the plus-group are already summed into that age's cell; columns beyond it are structurally present but not meaningful for that species/row."
"CPUEA","Age_10","Numbers per hour at age 10, raised per this survey's own age-length key and plus-group procedure (see PlusGrAge for IDX; CPUEA has no PlusGrAge column of its own -- cross-reference the matching IDX row's PlusGrAge, or the survey procedure document, for the plus-group cutoff). Ages at or above the plus-group are already summed into that age's cell; columns beyond it are structurally present but not meaningful for that species/row."
"CPUEA","Age_11","Numbers per hour at age 11, raised per this survey's own age-length key and plus-group procedure (see PlusGrAge for IDX; CPUEA has no PlusGrAge column of its own -- cross-reference the matching IDX row's PlusGrAge, or the survey procedure document, for the plus-group cutoff). Ages at or above the plus-group are already summed into that age's cell; columns beyond it are structurally present but not meaningful for that species/row."
"CPUEA","Age_12","Numbers per hour at age 12, raised per this survey's own age-length key and plus-group procedure (see PlusGrAge for IDX; CPUEA has no PlusGrAge column of its own -- cross-reference the matching IDX row's PlusGrAge, or the survey procedure document, for the plus-group cutoff). Ages at or above the plus-group are already summed into that age's cell; columns beyond it are structurally present but not meaningful for that species/row."
"CPUEA","Age_13","Numbers per hour at age 13, raised per this survey's own age-length key and plus-group procedure (see PlusGrAge for IDX; CPUEA has no PlusGrAge column of its own -- cross-reference the matching IDX row's PlusGrAge, or the survey procedure document, for the plus-group cutoff). Ages at or above the plus-group are already summed into that age's cell; columns beyond it are structurally present but not meaningful for that species/row."
"CPUEA","Age_14","Numbers per hour at age 14, raised per this survey's own age-length key and plus-group procedure (see PlusGrAge for IDX; CPUEA has no PlusGrAge column of its own -- cross-reference the matching IDX row's PlusGrAge, or the survey procedure document, for the plus-group cutoff). Ages at or above the plus-group are already summed into that age's cell; columns beyond it are structurally present but not meaningful for that species/row."
"CPUEA","Age_15","Numbers per hour at age 15, raised per this survey's own age-length key and plus-group procedure (see PlusGrAge for IDX; CPUEA has no PlusGrAge column of its own -- cross-reference the matching IDX row's PlusGrAge, or the survey procedure document, for the plus-group cutoff). Ages at or above the plus-group are already summed into that age's cell; columns beyond it are structurally present but not meaningful for that species/row."
"CPUEA","Age_2","Numbers per hour at age 2, raised per this survey's own age-length key and plus-group procedure (see PlusGrAge for IDX; CPUEA has no PlusGrAge column of its own -- cross-reference the matching IDX row's PlusGrAge, or the survey procedure document, for the plus-group cutoff). Ages at or above the plus-group are already summed into that age's cell; columns beyond it are structurally present but not meaningful for that species/row."
"CPUEA","Age_3","Numbers per hour at age 3, raised per this survey's own age-length key and plus-group procedure (see PlusGrAge for IDX; CPUEA has no PlusGrAge column of its own -- cross-reference the matching IDX row's PlusGrAge, or the survey procedure document, for the plus-group cutoff). Ages at or above the plus-group are already summed into that age's cell; columns beyond it are structurally present but not meaningful for that species/row."
"CPUEA","Age_4","Numbers per hour at age 4, raised per this survey's own age-length key and plus-group procedure (see PlusGrAge for IDX; CPUEA has no PlusGrAge column of its own -- cross-reference the matching IDX row's PlusGrAge, or the survey procedure document, for the plus-group cutoff). Ages at or above the plus-group are already summed into that age's cell; columns beyond it are structurally present but not meaningful for that species/row."
