"RecordHeader","FieldNameOld","DataFormat","DataFormat_fieldlist","FieldName","diff_type"
"CA","-",NA,NA,NA,"in_fieldlist_not_in_wsdl"
"FL","-",NA,NA,NA,"in_fieldlist_not_in_wsdl"
"HH","-",NA,NA,NA,"in_fieldlist_not_in_wsdl"
"HL","-",NA,NA,NA,"in_fieldlist_not_in_wsdl"
"LT","-",NA,NA,NA,"in_fieldlist_not_in_wsdl"
"CPUEA","Area","char","int",NA,"type_mismatch"
"CPUEL","Area","char","int",NA,"type_mismatch"
"LT","BottomDepth","decimal","int",NA,"type_mismatch"
"FL","Cal_Distance","int","decimal",NA,"type_mismatch"
"CA","DateofCalculation","int",NA,"DateofCalculation","cross_recordheader_type_mismatch"
"FL","DateofCalculation","char","int",NA,"type_mismatch"
"FL","DateofCalculation","char",NA,"DateofCalculation","cross_recordheader_type_mismatch"
"HH","DateofCalculation","int",NA,"DateofCalculation","cross_recordheader_type_mismatch"
"HL","DateofCalculation","int",NA,"DateofCalculation","cross_recordheader_type_mismatch"
"IDX","DateofCalculation",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"IDX","DateofCalculation","decimal",NA,"DateofCalculation","cross_recordheader_type_mismatch"
"LT","DateofCalculation","char","int",NA,"type_mismatch"
"LT","DateofCalculation","char",NA,"DateofCalculation","cross_recordheader_type_mismatch"
"CPUEA","DayNight",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEL","DayNight",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEA","Depth",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEL","Depth",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"FL","Depth",NA,NA,"BottomDepth","cross_recordheader_name_mismatch"
"HH","Depth",NA,NA,"BottomDepth","cross_recordheader_name_mismatch"
"LT","Depth",NA,NA,"Depth","cross_recordheader_name_mismatch"
"FL","Distance","int","decimal",NA,"type_mismatch"
"HH","Distance","int","decimal",NA,"type_mismatch"
"LT","Distance","int","decimal",NA,"type_mismatch"
"CPUEA","Gear",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEL","Gear",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CA","GearEx",NA,NA,"GearExceptions","cross_recordheader_name_mismatch"
"HH","GearEx",NA,NA,"GearExceptions","cross_recordheader_name_mismatch"
"HL","GearEx",NA,NA,"GearExceptions","cross_recordheader_name_mismatch"
"LT","GearEx",NA,NA,"GearEx","cross_recordheader_name_mismatch"
"CPUEL","HaulDur",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEA","HaulNo",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEL","HaulNo",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CA","LiverWeight",NA,NA,NA,"in_fieldlist_not_in_wsdl"
"CA","PlusGr","char",NA,"AgePlusGroup","cross_recordheader_type_mismatch"
"IDX","PlusGr",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"IDX","PlusGr","decimal",NA,"PlusGr","cross_recordheader_type_mismatch"
"CPUEA","Quarter",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEL","Quarter",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"IDX","Quarter",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"LT","RecordType",NA,NA,NA,"in_fieldlist_not_in_wsdl"
"LT","Reserved1",NA,NA,NA,"in_fieldlist_not_in_wsdl"
"LT","Reserved2",NA,NA,NA,"in_fieldlist_not_in_wsdl"
"CA","Sex",NA,NA,"IndividualSex","cross_recordheader_name_mismatch"
"CPUEA","Sex",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEL","Sex",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"HL","Sex",NA,NA,"SpeciesSex","cross_recordheader_name_mismatch"
"IDX","Sex",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEA","Ship",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEL","Ship",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEA","ShootLat",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEL","ShootLat",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CA","SpecCode","int","char",NA,"type_mismatch"
"HL","SpecCode","int","char",NA,"type_mismatch"
"CA","Survey",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEA","Survey",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEL","Survey",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"FL","Survey",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"HH","Survey",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"HL","Survey",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"IDX","Survey",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"HH","SurveyIndexArea",NA,NA,NA,"in_fieldlist_not_in_wsdl"
"CPUEA","Year",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"CPUEL","Year",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
"IDX","Year",NA,NA,NA,"new_wsdl_field_not_in_fieldlist"
